id_receta,nombre_receta,ingrediente,ingrediente_original,ingrediente_homologado,cantidad,unidad,cadena,producto_profeco,precio_kg_litro_mxn,unidad_precio,costo_ingrediente_mxn,tipo_conversion,ingredientes_requeridos,precio_total_receta_mxn,ingredientes_con_precio
18091,Orange Candy Frosting,confectioners  sugar,1   cup    confectioners' sugar,sugar,200.0,gramos,Soriana,Azúcar,29.4,kg,5.88,densidad_aproximada,2,13.27,2
18091,Orange Candy Frosting,orange juice,1   cup    orange juice,orange juice,0.2366,litros,Soriana,Jugo de Fruta,31.25,litro,7.39,volumen,2,13.27,2
18091,Orange Candy Frosting,confectioners  sugar,1   cup    confectioners' sugar,sugar,200.0,gramos,Walmart,Azúcar,26.9,kg,5.38,densidad_aproximada,2,13.02,2
18091,Orange Candy Frosting,orange juice,1   cup    orange juice,orange juice,0.2366,litros,Walmart,Jugo de Fruta,32.29,litro,7.64,volumen,2,13.02,2
20359,Onion Tarka,cooking oil,8   tablespoons    cooking oil,vegetable oil,0.1183,litros,Chedraui,Aceite,42.7,litro,5.05,volumen,2,9.73,2
20359,Onion Tarka,dried onion flakes,6   ounces    dried onion flakes,onion,170.0971,gramos,Chedraui,Cebolla,27.5,kg,4.68,directa,2,9.73,2
20359,Onion Tarka,cooking oil,8   tablespoons    cooking oil,vegetable oil,0.1183,litros,Soriana,Aceite,48.67,litro,5.76,volumen,2,9.88,2
20359,Onion Tarka,dried onion flakes,6   ounces    dried onion flakes,onion,170.0971,gramos,Soriana,Cebolla,24.2,kg,4.12,directa,2,9.88,2
20359,Onion Tarka,cooking oil,8   tablespoons    cooking oil,vegetable oil,0.1183,litros,Walmart,Aceite,47.43,litro,5.61,volumen,2,11.99,2
20359,Onion Tarka,dried onion flakes,6   ounces    dried onion flakes,onion,170.0971,gramos,Walmart,Cebolla,37.5,kg,6.38,directa,2,11.99,2
21463,Savory Vegetable Bake,Lipton Onion Soup,1   envelope    Lipton Onion Soup Mix,onion,110.0,gramos,Chedraui,Cebolla,27.5,kg,3.02,peso_por_pieza_aproximado,3,14.62,3
21463,Savory Vegetable Bake,vegetables red peppers zucchini yellow squash carrots celery mushrooms,"1/2  lb   assorted cut-up vegetables (such as red peppers, zucchini, yellow squash, carrots, celery, mushrooms, etc.)",carrot,226.7962,gramos,Chedraui,Zanahoria,15.8,kg,3.58,directa,3,14.62,3
21463,Savory Vegetable Bake,virgin olive oil,2   tablespoons    extra virgin olive oil,olive oil,0.0296,litros,Chedraui,Aceite de Oliva,271.22,litro,8.02,volumen,3,14.62,3
21463,Savory Vegetable Bake,Lipton Onion Soup,1   envelope    Lipton Onion Soup Mix,onion,110.0,gramos,Soriana,Cebolla,24.2,kg,2.66,peso_por_pieza_aproximado,3,15.64,3
21463,Savory Vegetable Bake,vegetables red peppers zucchini yellow squash carrots celery mushrooms,"1/2  lb   assorted cut-up vegetables (such as red peppers, zucchini, yellow squash, carrots, celery, mushrooms, etc.)",carrot,226.7962,gramos,Soriana,Zanahoria,16.5,kg,3.74,directa,3,15.64,3
21463,Savory Vegetable Bake,virgin olive oil,2   tablespoons    extra virgin olive oil,olive oil,0.0296,litros,Soriana,Aceite de Oliva,312.44,litro,9.24,volumen,3,15.64,3
21463,Savory Vegetable Bake,Lipton Onion Soup,1   envelope    Lipton Onion Soup Mix,onion,110.0,gramos,Walmart,Cebolla,37.5,kg,4.12,peso_por_pieza_aproximado,3,15.95,3
21463,Savory Vegetable Bake,vegetables red peppers zucchini yellow squash carrots celery mushrooms,"1/2  lb   assorted cut-up vegetables (such as red peppers, zucchini, yellow squash, carrots, celery, mushrooms, etc.)",carrot,226.7962,gramos,Walmart,Zanahoria,18.0,kg,4.08,directa,3,15.95,3
21463,Savory Vegetable Bake,virgin olive oil,2   tablespoons    extra virgin olive oil,olive oil,0.0296,litros,Walmart,Aceite de Oliva,262.11,litro,7.75,volumen,3,15.95,3
22947,Basic Butter Icing,butter,"1   cup    butter, softened",butter,227.0,gramos,Chedraui,Mantequilla,273.7,kg,62.13,densidad_aproximada,3,108.04,3
22947,Basic Butter Icing,icing sugar,5   cups    icing sugar,sugar,1000.0,gramos,Chedraui,Azúcar,28.2,kg,28.2,densidad_aproximada,3,108.04,3
22947,Basic Butter Icing,whipping cream,2/3  cup    whipping cream,cream,0.1577,litros,Chedraui,Crema,112.28,litro,17.71,volumen,3,108.04,3
22947,Basic Butter Icing,butter,"1   cup    butter, softened",butter,227.0,gramos,Soriana,Mantequilla,288.8,kg,65.56,densidad_aproximada,3,113.02,3
22947,Basic Butter Icing,icing sugar,5   cups    icing sugar,sugar,1000.0,gramos,Soriana,Azúcar,29.4,kg,29.4,densidad_aproximada,3,113.02,3
22947,Basic Butter Icing,whipping cream,2/3  cup    whipping cream,cream,0.1577,litros,Soriana,Crema,114.47,litro,18.06,volumen,3,113.02,3
22947,Basic Butter Icing,butter,"1   cup    butter, softened",butter,227.0,gramos,Walmart,Mantequilla,288.9,kg,65.58,densidad_aproximada,3,108.09,3
22947,Basic Butter Icing,icing sugar,5   cups    icing sugar,sugar,1000.0,gramos,Walmart,Azúcar,26.9,kg,26.9,densidad_aproximada,3,108.09,3
22947,Basic Butter Icing,whipping cream,2/3  cup    whipping cream,cream,0.1577,litros,Walmart,Crema,98.94,litro,15.61,volumen,3,108.09,3
24574,Potatiskorv (Potato Sausage),ground beef,2   lbs    ground beef,beef,907.1847,gramos,Chedraui,Carne Res,163.7,kg,148.51,directa,4,242.33,4
24574,Potatiskorv (Potato Sausage),ground pork,1   lb    ground pork,ground pork,453.5924,gramos,Chedraui,Carne Cerdo,101.4,kg,45.99,directa,4,242.33,4
24574,Potatiskorv (Potato Sausage),ground potatoes,2   lbs   ground potatoes (peeled & uncooked),potato,907.1847,gramos,Chedraui,Papa,50.3,kg,45.63,directa,4,242.33,4
24574,Potatiskorv (Potato Sausage),onion,1/2  cup   ground onion,onion,80.0,gramos,Chedraui,Cebolla,27.5,kg,2.2,densidad_aproximada,4,242.33,4
24574,Potatiskorv (Potato Sausage),ground beef,2   lbs    ground beef,beef,907.1847,gramos,Soriana,Carne Res,205.5,kg,186.43,directa,4,283.85,4
24574,Potatiskorv (Potato Sausage),ground pork,1   lb    ground pork,ground pork,453.5924,gramos,Soriana,Carne Cerdo,116.7,kg,52.93,directa,4,283.85,4
24574,Potatiskorv (Potato Sausage),ground potatoes,2   lbs   ground potatoes (peeled & uncooked),potato,907.1847,gramos,Soriana,Papa,46.9,kg,42.55,directa,4,283.85,4
24574,Potatiskorv (Potato Sausage),onion,1/2  cup   ground onion,onion,80.0,gramos,Soriana,Cebolla,24.2,kg,1.94,densidad_aproximada,4,283.85,4
24574,Potatiskorv (Potato Sausage),ground beef,2   lbs    ground beef,beef,907.1847,gramos,Walmart,Carne Res,228.5,kg,207.29,directa,4,313.98,4
24574,Potatiskorv (Potato Sausage),ground pork,1   lb    ground pork,ground pork,453.5924,gramos,Walmart,Carne Cerdo,109.0,kg,49.44,directa,4,313.98,4
24574,Potatiskorv (Potato Sausage),ground potatoes,2   lbs   ground potatoes (peeled & uncooked),potato,907.1847,gramos,Walmart,Papa,59.8,kg,54.25,directa,4,313.98,4
24574,Potatiskorv (Potato Sausage),onion,1/2  cup   ground onion,onion,80.0,gramos,Walmart,Cebolla,37.5,kg,3.0,densidad_aproximada,4,313.98,4
25551,Hamburger Skillet Supper,ground beef,1   lb    ground beef,beef,453.5924,gramos,Chedraui,Carne Res,163.7,kg,74.25,directa,4,122.28,4
25551,Hamburger Skillet Supper,ramen noodles beef flavor,1 (3   ounce) package   ramen noodles (I prefer beef flavor),beef,85.0486,gramos,Chedraui,Carne Res,163.7,kg,13.92,directa,4,122.28,4
25551,Hamburger Skillet Supper,vegetables frozen mixed veggies thawed peas corn,"2   cups    vegetables (frozen mixed veggies, thawed; peas and corn work perfect!)",peas,320.0,gramos,Chedraui,Chícharos,89.0,kg,28.48,densidad_aproximada,4,122.28,4
25551,Hamburger Skillet Supper,water,2   cups    water,water,0.4732,litros,Chedraui,Agua Sin Gas,11.89,litro,5.63,volumen,4,122.28,4
25551,Hamburger Skillet Supper,ground beef,1   lb    ground beef,beef,453.5924,gramos,Soriana,Carne Res,205.5,kg,93.21,directa,4,144.07,4
25551,Hamburger Skillet Supper,ramen noodles beef flavor,1 (3   ounce) package   ramen noodles (I prefer beef flavor),beef,85.0486,gramos,Soriana,Carne Res,205.5,kg,17.48,directa,4,144.07,4
25551,Hamburger Skillet Supper,vegetables frozen mixed veggies thawed peas corn,"2   cups    vegetables (frozen mixed veggies, thawed; peas and corn work perfect!)",peas,320.0,gramos,Soriana,Chícharos,86.4,kg,27.65,densidad_aproximada,4,144.07,4
25551,Hamburger Skillet Supper,water,2   cups    water,water,0.4732,litros,Soriana,Agua Sin Gas,12.11,litro,5.73,volumen,4,144.07,4
25551,Hamburger Skillet Supper,ground beef,1   lb    ground beef,beef,453.5924,gramos,Walmart,Carne Res,228.5,kg,103.65,directa,4,153.62,4
25551,Hamburger Skillet Supper,ramen noodles beef flavor,1 (3   ounce) package   ramen noodles (I prefer beef flavor),beef,85.0486,gramos,Walmart,Carne Res,228.5,kg,19.43,directa,4,153.62,4
25551,Hamburger Skillet Supper,vegetables frozen mixed veggies thawed peas corn,"2   cups    vegetables (frozen mixed veggies, thawed; peas and corn work perfect!)",peas,320.0,gramos,Walmart,Chícharos,79.9,kg,25.57,densidad_aproximada,4,153.62,4
25551,Hamburger Skillet Supper,water,2   cups    water,water,0.4732,litros,Walmart,Agua Sin Gas,10.5,litro,4.97,volumen,4,153.62,4
26090,Toffee Bananas,almond liqueur,1   tablespoon    almond liqueur,almonds,8.9375,gramos,Chedraui,Almendras,455.6,kg,4.07,densidad_aproximada,4,50.93,4
26090,Toffee Bananas,bananas,"6       bananas, peeled and sliced lengthwise",banana,708.0,gramos,Chedraui,Plátano,25.1,kg,17.77,peso_por_pieza_aproximado,4,50.93,4
26090,Toffee Bananas,brown sugar,9   ounces    dark brown sugar,sugar,255.1457,gramos,Chedraui,Azúcar,28.2,kg,7.2,directa,4,50.93,4
26090,Toffee Bananas,heavy cream,7   ounces    heavy cream,cream,198.4467,gramos,Chedraui,Crema,110.3,kg,21.89,directa,4,50.93,4
26090,Toffee Bananas,almond liqueur,1   tablespoon    almond liqueur,almonds,8.9375,gramos,Soriana,Almendras,491.1,kg,4.39,densidad_aproximada,4,57.11,4
26090,Toffee Bananas,bananas,"6       bananas, peeled and sliced lengthwise",banana,708.0,gramos,Soriana,Plátano,30.9,kg,21.88,peso_por_pieza_aproximado,4,57.11,4
26090,Toffee Bananas,brown sugar,9   ounces    dark brown sugar,sugar,255.1457,gramos,Soriana,Azúcar,29.4,kg,7.5,directa,4,57.11,4
26090,Toffee Bananas,heavy cream,7   ounces    heavy cream,cream,198.4467,gramos,Soriana,Crema,117.6,kg,23.34,directa,4,57.11,4
26090,Toffee Bananas,almond liqueur,1   tablespoon    almond liqueur,almonds,8.9375,gramos,Walmart,Almendras,510.0,kg,4.56,densidad_aproximada,4,54.9,4
26090,Toffee Bananas,bananas,"6       bananas, peeled and sliced lengthwise",banana,708.0,gramos,Walmart,Plátano,30.5,kg,21.59,peso_por_pieza_aproximado,4,54.9,4
26090,Toffee Bananas,brown sugar,9   ounces    dark brown sugar,sugar,255.1457,gramos,Walmart,Azúcar,26.9,kg,6.86,directa,4,54.9,4
26090,Toffee Bananas,heavy cream,7   ounces    heavy cream,cream,198.4467,gramos,Walmart,Crema,110.3,kg,21.89,directa,4,54.9,4
